# Description: This file is for creating figure.
# This file is generated by program. Do not change the contain of file!.
#
#[srcIpAddress,dstIpAddress,dstPort,Protocol]-label-x-y 
('147.32.84.165', '66.197.230.37', '53', 'udp')<<<MALWARE<<<8<<<0
('147.32.84.165', '213.186.117.20', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '118.86.12.94', '6667', 'tcp')<<<MALWARE<<<3<<<0
('147.32.84.165', '62.103.149.57', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '192.36.144.107', '53', 'udp')<<<MALWARE<<<7<<<0
('147.32.84.165', '41.71.139.171', '6667', 'tcp')<<<MALWARE<<<1<<<0
('147.32.84.165', '89.108.104.3', '53', 'udp')<<<MALWARE<<<28<<<0
('147.32.84.165', '89.149.244.142', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '92.38.229.222', '53', 'udp')<<<MALWARE<<<6<<<0
('147.32.84.165', '91.190.113.251', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '217.195.65.25', '53', 'udp')<<<MALWARE<<<4<<<0
('147.32.84.165', '67.231.152.68', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '90.156.201.71', '25', 'tcp')<<<MALWARE<<<4<<<0
('147.32.84.165', '94.245.121.176', '80', 'tcp')<<<MALWARE<<<1<<<0
('147.32.84.165', '74.125.232.207', '80', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '212.69.113.6', '25', 'tcp')<<<MALWARE<<<4<<<0
('147.32.84.165', '66.96.204.9', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '66.180.96.27', '25', 'tcp')<<<MALWARE<<<6<<<0
('147.32.84.165', '195.5.128.130', '53', 'udp')<<<MALWARE<<<1<<<0
('147.32.84.165', '65.55.72.199', '80', 'tcp')<<<MALWARE<<<1<<<0
('147.32.84.165', '208.81.160.62', '6667', 'tcp')<<<MALWARE<<<4<<<0
('147.32.84.165', '178.123.10.51', '6667', 'tcp')<<<MALWARE<<<6<<<0
('77.36.68.138', '147.32.84.165', '1', 'icmp')<<<NORMAL<<<2<<<0
('147.32.84.165', '12.180.54.148', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '88.198.27.35', '53', 'udp')<<<MALWARE<<<4<<<0
('147.32.84.165', '174.132.242.219', '25', 'tcp')<<<MALWARE<<<2<<<0
('147.32.84.165', '216.32.181.178', '25', 'tcp')<<<MALWARE<<<76<<<0
